arch_id,run_id,layers,depth,width,total_params,initial_loss,final_loss,test_loss,gen_gap,improvement_pct,convergence_iter,activation_dist
1,2,"[8, 1]",2,0,9,17.151913801784094,13.684138349514553,12.411049317869779,-1.2730890316447745,20.21800886096356,18,{}
0,1,"[8, 1]",2,0,9,17.58673050921075,13.684138349514551,12.411062897773695,-1.2730754517408567,22.190549617237167,25,{}
0,0,"[8, 1]",2,0,9,19.01069701900265,13.684138349514551,12.411591440729266,-1.2725469087852854,28.0187447317886,16,{}
1,1,"[8, 1]",2,0,9,17.818667567023496,13.684138349514551,12.411373470395747,-1.2727648791188049,23.203357950066934,20,{}
0,2,"[8, 1]",2,0,9,16.692297998298258,13.684138349514551,12.411016722200452,-1.273121627314099,18.02124338476573,13,{}
1,0,"[8, 1]",2,0,9,15.149589511191317,13.684138349514551,12.41127198596256,-1.2728663635519908,9.673207056826238,62,{}
2,2,"[8, 1]",2,0,9,16.859045854935896,13.684138349514546,12.411238157753328,-1.2729001917612184,18.83207111920761,25,{}
3,0,"[8, 1]",2,0,9,18.10991871267473,13.684138349514551,12.411491060162495,-1.2726472893520562,24.438433067414454,12,{}
2,0,"[8, 1]",2,0,9,17.651189022148152,13.684138349514551,12.410582627861583,-1.2735557216529685,22.47469373114679,21,{}
2,1,"[8, 1]",2,0,9,18.146698215092062,13.684138349514551,12.41164491803277,-1.2724934314817808,24.59158031220321,19,{}
4,1,"[8, 1]",2,0,9,18.794918259648494,13.684138349514551,12.411073975480218,-1.273064374034334,27.19234975927757,19,{}
3,2,"[8, 1]",2,0,9,16.213674085806968,13.684138349514551,12.41107942381024,-1.2730589257043121,15.601249432457179,23,{}
4,0,"[8, 1]",2,0,9,18.657405020770337,13.684138349514551,12.41216381042532,-1.271974539089232,26.65572551873801,16,{}
4,2,"[8, 1]",2,0,9,17.27395232459474,13.684138349514551,12.411360416794396,-1.272777932720155,20.78165962035796,24,{}
3,1,"[8, 1]",2,0,9,17.059485197939097,13.684138349514551,12.411318342014427,-1.2728200075001244,19.785748568968014,16,{}
