run_id,layers,num_layers,total_params,initial_train_loss,final_train_loss,test_loss,improvement_percent,convergence_iteration,generalization_gap,depth,experiment,width,shape
0,"[8, 1]",2,9,13.797495363309643,11.145986450476325,8.555707333194722,19.2173205572094,15,-2.5902791172816038,2.0,depth,,
1,"[8, 1]",2,9,15.57279978284659,11.145986450476347,8.555707522755077,28.426573218043742,23,-2.59027892772127,2.0,depth,,
2,"[8, 1]",2,9,15.621651275852614,11.145986450476775,8.555707131692866,28.650395187697992,14,-2.5902793187839084,2.0,depth,,
3,"[8, 1]",2,9,15.3416215955862,11.145986450476125,8.55570752909533,27.348055216778157,14,-2.5902789213807953,2.0,depth,,
4,"[8, 1]",2,9,15.82998886476271,11.145986450476222,8.555707528303355,29.589423304731426,15,-2.5902789221728675,2.0,depth,,
5,"[8, 1]",2,9,14.803524432447364,11.145986450476197,8.55570736618673,24.70721076363632,15,-2.5902790842894667,2.0,depth,,
6,"[8, 1]",2,9,15.78751328837512,11.145986450476586,8.55570795417681,29.39998689544253,15,-2.590278496299776,2.0,depth,,
7,"[8, 1]",2,9,14.819961415862847,11.145986450476128,8.555707540674984,24.790718830443144,16,-2.5902789098011443,2.0,depth,,
8,"[8, 1]",2,9,15.178505140114805,11.145986450476324,8.555707589459427,26.567297981018314,17,-2.5902788610168965,2.0,depth,,
9,"[8, 1]",2,9,14.704821535106056,11.145986450476133,8.555707550036738,24.201824388916364,10,-2.5902789004393956,2.0,depth,,
0,"[8, 16, 1]",3,161,17.018147526217433,5.457729422843366,10.27230796018711,67.92994411151143,277,4.814578537343744,3.0,depth,,
1,"[8, 16, 1]",3,161,17.094184957247464,5.4503781016062,11.509374696189589,68.11560121036722,238,6.058996594583389,3.0,depth,,
2,"[8, 16, 1]",3,161,16.264270156670566,5.3921291085103515,10.404769283382114,66.84678097099338,256,5.012640174871763,3.0,depth,,
3,"[8, 16, 1]",3,161,17.05221252995273,5.254379818616934,9.763104985291735,69.18652163531591,241,4.5087251666748,3.0,depth,,
4,"[8, 16, 1]",3,161,16.441035808777343,5.501793176566223,9.529865817194226,66.53621316469007,354,4.028072640628003,3.0,depth,,
5,"[8, 16, 1]",3,161,16.443549898317862,5.525194619323921,10.35327542247623,66.3990157022655,292,4.828080803152309,3.0,depth,,
6,"[8, 16, 1]",3,161,16.731048218989738,5.314348762004914,10.314011480151242,68.23660602464147,277,4.999662718146328,3.0,depth,,
7,"[8, 16, 1]",3,161,16.65008466304958,5.373282204538612,9.339765659478989,67.72819890541952,328,3.9664834549403762,3.0,depth,,
8,"[8, 16, 1]",3,161,16.47358758242713,5.494152837909576,9.269310150033366,66.64871686013097,323,3.77515731212379,3.0,depth,,
9,"[8, 16, 1]",3,161,16.2090505395066,5.507964639623386,12.961100571107629,66.01920250542295,267,7.453135931484243,3.0,depth,,
0,"[8, 16, 16, 1]",4,433,17.295226844185787,5.964812965142445,11.112206041838386,65.5117968739007,334,5.14739307669594,4.0,depth,,
1,"[8, 16, 16, 1]",4,433,17.431352405736217,5.181812546989378,8.844387374954367,70.2730320265674,282,3.6625748279649892,4.0,depth,,
2,"[8, 16, 16, 1]",4,433,17.263616160684116,5.805427709469157,11.912030135141489,66.37189071261706,262,6.106602425672332,4.0,depth,,
3,"[8, 16, 16, 1]",4,433,17.451413928095974,5.340590674018122,10.578606960865088,69.3973755019356,230,5.238016286846966,4.0,depth,,
4,"[8, 16, 16, 1]",4,433,17.462327007763378,5.153151619659254,8.580542595356425,70.48989165436959,260,3.427390975697171,4.0,depth,,
5,"[8, 16, 16, 1]",4,433,17.434791346383818,5.063129682981581,12.241072852296508,70.95961986357965,298,7.177943169314927,4.0,depth,,
6,"[8, 16, 16, 1]",4,433,17.269801597613533,5.462961614825762,11.353605952639072,68.36696945273144,226,5.89064433781331,4.0,depth,,
7,"[8, 16, 16, 1]",4,433,17.19515064911013,5.552977431295755,8.826975081658356,67.70614259443474,266,3.2739976503626007,4.0,depth,,
8,"[8, 16, 16, 1]",4,433,17.386065614752283,7.3310023228292875,8.081717963486232,57.83403511022732,213,0.7507156406569448,4.0,depth,,
9,"[8, 16, 16, 1]",4,433,17.150688310102325,5.452643726668898,8.14980984759136,68.2074350132227,251,2.6971661209224624,4.0,depth,,
0,"[8, 16, 16, 16, 1]",5,705,17.627903521694986,5.711665277933752,9.41020993076456,67.59872624158454,351,3.698544652830809,5.0,depth,,
1,"[8, 16, 16, 16, 1]",5,705,17.631439728969063,5.874530887782291,9.728456734296008,66.68150203224621,314,3.853925846513717,5.0,depth,,
2,"[8, 16, 16, 16, 1]",5,705,17.64877676556343,5.744122167135051,9.357139668477688,67.45314282436236,260,3.613017501342637,5.0,depth,,
3,"[8, 16, 16, 16, 1]",5,705,17.50073286805486,5.823166569755787,10.07690980222155,66.7261559063897,292,4.253743232465763,5.0,depth,,
4,"[8, 16, 16, 16, 1]",5,705,17.556758465820565,5.400071951724701,9.744539310263443,69.24220400800328,269,4.344467358538742,5.0,depth,,
5,"[8, 16, 16, 16, 1]",5,705,17.53954433649217,5.994803272918331,9.363214693149235,65.82121429206259,285,3.3684114202309043,5.0,depth,,
6,"[8, 16, 16, 16, 1]",5,705,17.607518601983426,5.658789995276821,8.68437696503749,67.86151346368945,329,3.0255869697606697,5.0,depth,,
7,"[8, 16, 16, 16, 1]",5,705,17.556749284701098,5.7508706781899415,10.106461743520455,67.24410319397091,278,4.355591065330514,5.0,depth,,
8,"[8, 16, 16, 16, 1]",5,705,17.606199036773393,5.423518655673244,9.278838185004746,69.19540302625599,234,3.855319529331502,5.0,depth,,
9,"[8, 16, 16, 16, 1]",5,705,17.627624501475527,5.232807246863671,9.778231967918808,70.31473386317222,239,4.545424721055137,5.0,depth,,
0,"[8, 4, 4, 1]",4,61,17.61396677169146,6.020899266541146,9.99261154834525,65.81747118872893,234,3.9717122818041046,,width,4.0,
1,"[8, 4, 4, 1]",4,61,17.580607796842237,5.958445955866363,9.503405804561275,66.10785005432749,309,3.544959848694912,,width,4.0,
2,"[8, 4, 4, 1]",4,61,17.635847224766454,6.305043405265343,10.226486640920765,64.24870705156135,132,3.9214432356554223,,width,4.0,
3,"[8, 4, 4, 1]",4,61,17.601264991463108,6.0789554962405745,10.00247767027747,65.46296246781715,179,3.9235221740368953,,width,4.0,
4,"[8, 4, 4, 1]",4,61,17.641264945306652,6.115729600823864,10.553032360005265,65.33281700725821,184,4.4373027591814,,width,4.0,
5,"[8, 4, 4, 1]",4,61,17.61128632468863,6.310924865486833,10.011440998407702,64.16545192022815,239,3.7005161329208685,,width,4.0,
6,"[8, 4, 4, 1]",4,61,17.645723442348928,6.062714144508816,10.933897314813963,65.64201992445047,153,4.871183170305147,,width,4.0,
7,"[8, 4, 4, 1]",4,61,17.58031597867042,6.454056584834481,9.777678651170556,63.28816505536668,181,3.3236220663360747,,width,4.0,
8,"[8, 4, 4, 1]",4,61,17.564846997154827,5.984221427645577,8.781013881773655,65.93069425190605,234,2.7967924541280773,,width,4.0,
9,"[8, 4, 4, 1]",4,61,17.558524210862604,6.380885594232622,9.986238815039444,63.65932855401891,173,3.6053532208068217,,width,4.0,
0,"[8, 8, 8, 1]",4,153,17.41409846360354,5.694062769892243,10.194770462805014,67.3019950944164,286,4.500707692912771,,width,8.0,
1,"[8, 8, 8, 1]",4,153,17.455766346474626,6.141576608812473,8.46848482985083,64.81634500078636,241,2.326908221038357,,width,8.0,
2,"[8, 8, 8, 1]",4,153,17.394244968486195,5.2816417364,9.657383861102396,69.635694185238,288,4.375742124702396,,width,8.0,
3,"[8, 8, 8, 1]",4,153,17.458948803498078,5.820058817770444,9.45187568897161,66.6643227878397,215,3.631816871201166,,width,8.0,
4,"[8, 8, 8, 1]",4,153,17.483866275912007,5.402603706126754,10.392210518195784,69.09949080558877,297,4.98960681206903,,width,8.0,
5,"[8, 8, 8, 1]",4,153,17.468299872912876,5.445742856359388,9.894714652141564,68.82499787627415,208,4.448971795782176,,width,8.0,
6,"[8, 8, 8, 1]",4,153,17.57822261668854,5.812115338633459,10.40623861696539,66.9357052452191,284,4.5941232783319315,,width,8.0,
7,"[8, 8, 8, 1]",4,153,17.5177800200145,5.82710151034476,10.72004445298799,66.73607327134401,248,4.89294294264323,,width,8.0,
8,"[8, 8, 8, 1]",4,153,17.48544534805883,5.485995193542864,11.652836603621479,68.62536192621539,210,6.166841410078614,,width,8.0,
9,"[8, 8, 8, 1]",4,153,17.525813130474493,5.758389936516871,9.450048715712924,67.14337934766644,242,3.691658779196053,,width,8.0,
0,"[8, 16, 16, 1]",4,433,17.41900166353798,5.876385024815928,9.800549764894074,66.26451309711642,327,3.9241647400781456,,width,16.0,
1,"[8, 16, 16, 1]",4,433,17.225031086334553,5.1896627781454,10.943832862926449,69.87138802749325,301,5.754170084781049,,width,16.0,
2,"[8, 16, 16, 1]",4,433,17.326808538712402,5.671188235142838,10.345113360382761,67.26928549783422,317,4.673925125239923,,width,16.0,
3,"[8, 16, 16, 1]",4,433,17.509977530334464,5.908787756569263,11.209607986198376,66.25473821235454,328,5.300820229629114,,width,16.0,
4,"[8, 16, 16, 1]",4,433,17.35078407351991,6.223823324945285,10.07926853784949,64.12944049921154,373,3.855445212904205,,width,16.0,
5,"[8, 16, 16, 1]",4,433,17.269059397162867,5.48887358084935,10.577521187663493,68.21556140022822,272,5.088647606814143,,width,16.0,
6,"[8, 16, 16, 1]",4,433,17.144088612420948,5.038496483157842,9.735328530593232,70.61088170351945,298,4.69683204743539,,width,16.0,
7,"[8, 16, 16, 1]",4,433,17.28664859037167,5.313448787341796,9.87006535725884,69.26270144519926,306,4.556616569917043,,width,16.0,
8,"[8, 16, 16, 1]",4,433,17.4278956025145,5.47842142502861,12.093358366547708,68.56521550290798,251,6.614936941519098,,width,16.0,
9,"[8, 16, 16, 1]",4,433,17.404204582897236,5.017708748078619,9.50053858677727,71.16956006705747,250,4.48282983869865,,width,16.0,
0,"[8, 32, 32, 1]",4,1377,16.917606958622617,5.151692924990814,11.00683017721274,69.54833542598007,279,5.855137252221925,,width,32.0,
1,"[8, 32, 32, 1]",4,1377,17.02435792676547,5.249427632454821,10.442417948505101,69.1651946285637,289,5.19299031605028,,width,32.0,
2,"[8, 32, 32, 1]",4,1377,16.89475636166473,4.886182920431654,11.869105736957534,71.07870148681923,304,6.98292281652588,,width,32.0,
3,"[8, 32, 32, 1]",4,1377,17.04074396431678,5.264697521966794,8.528545634181247,69.10523664347612,308,3.263848112214453,,width,32.0,
4,"[8, 32, 32, 1]",4,1377,16.775917720327467,5.150579156949653,9.918630912876914,69.29778005105098,303,4.768051755927261,,width,32.0,
5,"[8, 32, 32, 1]",4,1377,16.883424622352432,5.701095180073959,11.434542903203402,66.23259020254622,367,5.733447723129443,,width,32.0,
6,"[8, 32, 32, 1]",4,1377,16.80639679991358,6.939632160588929,8.902928697985148,58.70838798340991,398,1.9632965373962188,,width,32.0,
7,"[8, 32, 32, 1]",4,1377,17.01363601481523,5.560670707381405,9.749933997721929,67.3163884396066,318,4.189263290340524,,width,32.0,
8,"[8, 32, 32, 1]",4,1377,16.929664107872952,5.575454675646579,10.119419783781103,67.06695041247879,331,4.543965108134524,,width,32.0,
9,"[8, 32, 32, 1]",4,1377,16.835173887522526,5.040881109773028,9.648883993346372,70.05744553960858,342,4.608002883573344,,width,32.0,
0,"[8, 64, 64, 1]",4,4801,17.14598733203819,5.889265208446549,10.413317975420414,65.65222466108939,289,4.524052766973865,,width,64.0,
1,"[8, 64, 64, 1]",4,4801,15.699885185759479,5.460749902171387,9.513699131478969,65.21789912753923,361,4.052949229307582,,width,64.0,
2,"[8, 64, 64, 1]",4,4801,16.828487622040033,5.694944892795163,8.879137663499593,66.15890256628543,354,3.1841927707044304,,width,64.0,
3,"[8, 64, 64, 1]",4,4801,16.046389308259357,5.430778729620315,12.220147150268737,66.15575862399776,316,6.7893684206484215,,width,64.0,
4,"[8, 64, 64, 1]",4,4801,16.66173444719255,6.38211356130394,10.54881445068457,61.695983203121415,383,4.166700889380631,,width,64.0,
5,"[8, 64, 64, 1]",4,4801,16.258858079230176,5.065090574859255,12.142762452257461,68.84719363329927,314,7.077671877398206,,width,64.0,
6,"[8, 64, 64, 1]",4,4801,16.67723976773731,6.007818965648744,9.631604107844025,63.97593936814966,426,3.6237851421952803,,width,64.0,
7,"[8, 64, 64, 1]",4,4801,16.595676030213735,5.334749477005303,10.968245380438917,67.85458171578566,348,5.633495903433614,,width,64.0,
8,"[8, 64, 64, 1]",4,4801,16.353708141064878,5.123420903714324,11.717176475001823,68.67119762979512,375,6.593755571287499,,width,64.0,
9,"[8, 64, 64, 1]",4,4801,16.45229667749249,7.5912461158815825,8.634247836771452,53.859049197266415,365,1.0430017208898699,,width,64.0,
0,"[8, 16, 32, 64, 1]",5,2865,16.891957837945807,5.989720017552622,10.774155010465876,64.54099592826704,325,4.784434992913254,,shape,,pyramid_expanding
